,Suburb 2012,Number-2012
1,Auburn,897
2,Blacktown,844
3,Bankstown,721
4,Merrylands,681
5,Orange,597
6,Dubbo,562
7,Guildford,545
8,Randwick,505
9,Liverpool,501
10,Parramatta,490
11,Hurstville,481
12,Maroubra,477
13,Baulkham Hills,472
14,Wagga Wagga,471
15,Quakers Hill,464
16,Tamworth,454
17,Port Macquarie,452
18,Lakemba,450
19,Dee Why,429
20,Marrickville,414
21,Castle Hill,404
22,Campsie,402
23,Ashfield,402
24,Cabramatta,396
25,Greenacre,379
26,Fairfield,378
27,Hornsby,376
28,Punchbowl,368
29,Westmead,347
30,Chatswood,342
31,Mosman,341
32,Granville,331
33,Bexley,328
34,Lidcombe,326
35,Greystanes,325
36,Ryde,312
37,Manly,311
38,Lane Cove,311
39,Griffith,309
40,Strathfield,308
41,Seven Hills,308
42,Armidale,305
43,Rockdale,299
44,Coffs Harbour,299
45,Glenmore Park,295
46,Caringbah,295
47,St Clair,294
48,Engadine,292
49,Coogee,291
50,Kogarah,286
51,Leichhardt,280
52,Cranebrook,267
53,Bathurst,263
54,Wentworthville,262
55,North,259
56,Yagoona,258
57,Wiley Park,253
58,Cronulla,253
59,Goulburn,250
60,Bondi,248
61,Kellyville,245
62,Sydney,239
63,Prestons,239
64,Toongabbie,235
65,Casula,230
66,Epping,226
67,Dulwich Hill,224
68,Glenwood,221
69,Ingleburn,220
70,Raymond,219
71,Miranda,217
72,Carlingford,217
73,Albion Park,215
74,West Ryde,213
75,Cessnock,213
76,St Marys,210
77,Neutral Bay,210
78,Belmore,209
79,Kellyville Ridge,208
80,Northmead,207
81,Eastwood,206
82,Rooty Hill,205
83,Wollongong,201
84,Muswellbrook,201
85,Taree,199
86,Newtown,199
87,Sutherland,198
88,Penshurst,198
89,Doonside,198
90,Condell Park,198
91,Padstow,197
92,Mascot,195
93,Penrith,192
94,Paddington,192
95,Freshwater,192
96,Mudgee,191
97,Broken Hill,191
98,Drummoyne,183
99,Macquarie,183
100,Rozelle,181
