,Suburb 2016,Number-2016
1,Blacktown,840
2,Auburn,751
3,Bankstown,640
4,Merrylands,601
5,Orange,559
6,Dubbo,551
7,Parramatta,509
8,Guildford,493
9,Baulkham Hills,483
10,Liverpool,483
11,Randwick,478
12,Hurstville,425
13,Quakers Hill,422
14,Lakemba,415
15,Campsie,404
16,Maroubra,403
17,Ryde,402
18,Dee Why,401
19,Punchbowl,395
20,Castle Hill,381
21,Port Macquarie,360
22,Hornsby,360
23,Glenmore Park,353
24,Tamworth,353
25,Kellyville,352
26,Wagga Wagga,351
27,Marrickville,348
28,Westmead,346
29,Greenacre,345
30,Chatswood,344
31,Granville,330
32,Mosman,326
33,Ashfield,325
34,Coffs Harbour,292
35,Lidcombe,284
36,Kogarah,282
37,Greystanes,281
38,St Clair,281
39,Rockdale,278
40,Fairfield,278
41,Seven Hills,278
42,Cabramatta,274
43,Carlingford,270
44,Armidale,266
45,Manly,264
46,Yagoona,264
47,Cronulla,257
48,The Ponds,257
49,Bexley,255
50,Mascot,254
51,Lane Cove,250
52,Cranebrook,249
53,Griffith,245
54,Epping,245
55,Wiley Park,244
56,Rhodes,243
57,Mount Druitt,238
58,Coogee,235
59,Leichhardt,234
60,Casula,234
61,Goulburn,228
62,Strathfield,227
63,Eastwood,222
64,Engadine,222
65,Caringbah,221
66,Ingleburn,220
67,Sydney,216
68,Moorebank,215
69,Rooty Hill,214
70,Penrith,209
71,Toongabbie,209
72,West Ryde,208
73,North Parramatta,207
74,St Marys,201
75,Wentworthville,200
76,Miranda,199
77,Charlestown,196
78,Bathurst,194
79,Earlwood,194
80,Wollongong,194
81,Panania,193
82,Belmore,190
83,Prestons,190
84,Bondi,189
85,Revesby,188
86,Waterloo,187
87,Cessnock,180
88,Condell Park,179
89,Sutherland,179
90,Homebush West,178
91,Burwood,178
92,Wentworth Point,178
93,Cremorne,177
94,Macquarie Fields,177
95,Penshurst,177
96,Muswellbrook,177
97,Riverwood,177
98,Glenwood,177
99,Minto,176
100,Rutherford,176
