,Suburb 2017,Number-2017
1,Blacktown,801
2,Auburn,734
3,Bankstown,623
4,Merrylands,601
5,Dubbo,550
6,Parramatta,550
7,Liverpool,546
8,Guildford,491
9,Orange,485
10,Baulkham Hills,442
11,Lakemba,434
12,Randwick,427
13,Dee Why,417
14,Campsie,401
15,Quakers Hill,377
16,Westmead,371
17,Hurstville,369
18,Greenacre,365
19,Kellyville,364
20,Port Macquarie,362
21,Maroubra,360
22,Punchbowl,350
23,Ryde,350
24,Marrickville,346
25,Hornsby,334
26,Greystanes,329
27,Castle Hill,319
28,Glenmore Park,311
29,Chatswood,307
30,Ashfield,306
31,Kogarah,299
32,Tamworth,299
33,Granville,296
34,Mosman,293
35,Wagga Wagga,285
36,Coffs Harbour,284
37,Mount Druitt,276
38,Seven Hills,270
39,Rockdale,269
40,Yagoona,268
41,Lidcombe,265
42,Armidale,262
43,Bexley,259
44,Griffith,259
45,Cabramatta,255
46,Fairfield,250
47,Epping,249
48,Manly,242
49,Strathfield,242
50,Rhodes,240
51,Carlingford,238
52,Sydney,236
53,St Clair,232
54,The Ponds,232
55,Wentworth Point,232
56,Coogee,231
57,Cronulla,230
58,Leichhardt,230
59,Cranebrook,229
60,Mascot,227
61,St Marys,227
62,Wiley Park,225
63,Casula,224
64,Lane Cove,224
65,Toongabbie,217
66,West Ryde,213
67,Wentworthville,208
68,Ingleburn,207
69,Northmead,205
70,Wollongong,202
71,Caringbah,201
72,Miranda,200
73,Rooty Hill,199
74,Belmore,195
75,Condell Park,193
76,Engadine,193
77,Campbelltown,192
78,Waterloo,191
79,Penrith,190
80,Charlestown,189
81,Minto,188
82,Paddington,188
83,Jordan Springs,186
84,Cremorne,185
85,Sutherland,185
86,Ermington,184
87,Bondi,183
88,Cessnock,181
89,Muswellbrook,181
90,Prestons,180
91,Goulburn,177
92,North Parramatta,177
93,Drummoyne,175
94,Earlwood,175
95,Penshurst,175
96,Bondi Beach,174
97,Revesby,172
98,Dulwich Hill,171
99,St Ives,170
100,Moorebank,169
