,Suburb 2014,Number-2014
1,Blacktown,846
2,Auburn,822
3,Bankstown,719
4,Merrylands,648
5,Orange,588
6,Dubbo,579
7,Liverpool,529
8,Parramatta,524
9,Guildford,498
10,Randwick,473
11,Port Macquarie,466
12,Tamworth,459
13,Hurstville,453
14,Quakers Hill,453
15,Maroubra,438
16,Baulkham Hills,435
17,Wagga Wagga,433
18,Lakemba,432
19,Dee Why,423
20,Castle Hill,409
21,Marrickville,401
22,Greenacre,381
23,Fairfield,377
24,Punchbowl,367
25,Ashfield,364
26,Westmead,355
27,Campsie,353
28,Granville,345
29,Cabramatta,343
30,Mosman,343
31,Hornsby,332
32,Ryde,332
33,Greystanes,329
34,Chatswood,325
35,Lidcombe,314
36,Coffs Harbour,312
37,Leichhardt,306
38,Manly,306
39,Coogee,299
40,Caringbah,290
41,Bexley,287
42,Glenmore Park,287
43,Yagoona,286
44,Kogarah,285
45,St Clair,281
46,Armidale,279
47,Wentworthville,278
48,Seven Hills,274
49,Strathfield,274
50,Griffith,271
51,Kellyville,271
52,Cronulla,269
53,Cranebrook,265
54,Lane Cove,256
55,Engadine,251
56,Bondi,244
57,St Marys,244
58,Carlingford,241
59,Wiley Park,240
60,Goulburn,235
61,Epping,235
62,Rockdale,232
63,Prestons,225
64,Ingleburn,222
65,Kellyville Ridge,222
66,Belmore,220
67,Casula,219
68,Bathurst,216
69,Dulwich Hill,215
70,Sydney,213
71,Balmain,212
72,Mascot,207
73,Glenwood,206
74,Toongabbie,206
75,Miranda,205
76,Doonside,203
77,Marsfield,203
78,Rhodes,203
79,Eastwood,202
80,North,202
81,Paddington,202
82,Raymond Terrace,202
83,Charlestown,201
84,Condell Park,201
85,Penrith,201
86,Muswellbrook,200
87,Rooty Hill,200
88,Albion Park,193
89,Wollongong,193
90,Padstow,192
91,Sutherland,192
92,Chester Hill,191
93,The Ponds,191
94,Earlwood,190
95,Macquarie Fields,190
96,Mount Druitt,190
97,Mudgee,190
98,Neutral Bay,190
99,Broken Hill,186
100,Queanbeyan,186
