,Suburb 2018,Number-2018
1,Blacktown,863
2,Auburn ,719
3,Bankstown,608
4,Parramatta,585
5,Merrylands,572
6,Orange,562
7,Dubbo,557
8,Liverpool,536
9,Guildford,495
10,Randwick,448
11,Lakemba,420
12,Quakers Hill,417
13,Sydney,404
14,Ryde,402
15,Baulkham Hills,394
16,Maroubra,383
17,Greenacre,378
18,Dee Why,375
19,Hurstville,374
20,Kellyville,366
21,Port Macquarie,366
22,Glenmore Park,364
23,Campsie,346
24,Castle Hill,345
25,Punchbowl,343
26,Marrickville,340
27,Hornsby,334
28,Mount Druitt,332
29,Mosman,312
30,Greystanes,308
31,Westmead,308
32,Yagoona,306
33,Ashfield,291
34,Granville,287
35,Mascot,279
36,Oran Park,270
37,Cronulla,267
38,Lidcombe,265
39,Manly,264
40,Chatswood,260
41,Carlingford,259
42,Armidale,258
43,Leichhardt,256
44,Coffs Harbour,255
45,Cranebrook,255
46,Coogee,254
47,St Clair,253
48,Rockdale,253
49,Griffith,245
50,Fairfield,241
51,Toongabbie,240
52,Campbelltown,234
53,Epping,232
54,St Marys,232
55,Wiley Park,232
56,Wentworth Point,231
57,Strathfield,229
58,The Ponds,229
59,Cabramatta,228
60,Lane Cove,228
61,Schofields,227
62,Wentworthville,227
63,Seven Hills,222
64,Rooty Hill,221
65,Casula,220
66,Rhodes,220
67,Kogarah,219
68,Bexley,218
69,Caringbah,217
70,Penrith,214
71,Tamworth,210
72,Minto,209
73,Ingleburn,207
74,Jordan Springs,206
75,Wollongong,205
76,Cessnock,204
77,Miranda,203
78,Waterloo,202
79,Doonside,199
80,Engadine,198
81,Lane Cove North,197
82,Moorebank,196
83,Goulburn,195
84,Charlestown,192
85,Prestons,192
86,Belmore,191
87,Condell Park,191
88,North Parramatta,191
89,Arncliffe,189
90,Ermington,189
91,Bondi Beach,187
92,Botany,187
93,Chester Hill,187
94,Panania,187
95,Spring Farm,186
96,Cremorne,185
97,Paddington,183
98,Freshwater,181
99,Northmead,181
100,Umina Beach,180
