,Suburb 2015,Number-2015
1,Blacktown,784
2,Auburn,740
3,Bankstown,682
4,Merrylands,567
5,Orange,550
6,Parramatta,534
7,Dubbo,522
8,Liverpool,476
9,Guildford,473
10,Randwick,467
11,Quakers Hill,424
12,Baulkham Hills,411
13,Lakemba,390
14,Port Macquarie,378
15,Maroubra,376
16,Marrickville,376
17,Ryde,375
18,Tamworth,366
19,Dee Why,364
20,Wagga Wagga,362
21,Castle Hill,360
22,Campsie,353
23,Greenacre,352
24,Punchbowl,348
25,Kellyville,344
26,Westmead,339
27,Hurstville,336
28,Glenmore Park,334
29,Granville,328
30,Ashfield,316
31,Hornsby,314
32,Mosman,313
33,Greystanes,311
34,Fairfield,300
35,Chatswood,292
36,Bexley,290
37,Lidcombe,289
38,Cabramatta,288
39,Sydney,283
40,St Clair,280
41,Strathfield,276
42,Yagoona,276
43,Cranebrook,269
44,Manly,268
45,Griffith,264
46,Coogee,257
47,Kogarah,257
48,Rhodes,257
49,Coffs Harbour,251
50,Carlingford,247
51,Seven Hills,246
52,Cronulla,245
53,Mount Druitt,239
54,Armidale,238
55,Leichhardt,233
56,Wiley Park,233
57,Rockdale,231
58,The Ponds,228
59,Lane Cove,224
60,Miranda,222
61,North Parramatta,222
62,Caringbah,218
63,Goulburn,217
64,Casula,213
65,Bathurst,211
66,Engadine,209
67,Muswellbrook,206
68,Epping,205
69,Wollongong,205
70,Wentworthville,202
71,Belmore,201
72,Rooty Hill,200
73,Mascot,198
74,West Ryde,198
75,Prestons,197
76,St Marys,197
77,Ingleburn,196
78,Toongabbie,195
79,Neutral Bay,194
80,Sutherland,193
81,Minto,192
82,Doonside,191
83,Glenwood,191
84,Paddington,190
85,Pyrmont,190
86,Earlwood,186
87,Mudgee,186
88,Ermington,185
89,Waterloo,185
90,Drummoyne,183
91,Bondi,181
92,Condell Park,181
93,Raymond Terrace,181
94,Kellyville Ridge,178
95,Rutherford,178
96,Umina Beach,178
97,Revesby,177
98,Dulwich Hill,176
99,Newtown,176
100,Charlestown,174
